row_id,order_id,order_date,ship_date,ship_mode,customer_id,country,city,state,postal_code,product_id,category,sub_category,product_name,sales,quantity,discount,profit,customer_name,region,segment
1,CA-2016-152156,08-11-2016,11-11-2016,Second Class,CG-12520,United States,Henderson,Kentucky,42420,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.91,Claire Gute,South,Consumer
1,CA-2016-152156,08-11-2016,11-11-2016,Second Class,CG-12520,United States,Henderson,Kentucky,42420,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.91,Claire Gute,South,Consumer
2,CA-2016-152156,08-11-2016,11-11-2016,Second Class,CG-12520,United States,Henderson,Kentucky,42420,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.58,Claire Gute,South,Consumer
2,CA-2016-152156,08-11-2016,11-11-2016,Second Class,CG-12520,United States,Henderson,Kentucky,42420,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.58,Claire Gute,South,Consumer
3,CA-2016-138688,12-06-2016,16-06-2016,Second Class,DV-13045,United States,Los Angeles,California,90036,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.87,Darrin Van Huff,East,Corporate
3,CA-2016-138688,12-06-2016,16-06-2016,Second Class,DV-13045,United States,Los Angeles,California,90036,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.87,Darrin Van Huff,West,Corporate
4,US-2015-108966,11-10-2015,18-10-2015,Standard Class,SO-20335,United States,Fort Lauderdale,Florida,33311,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.58,5,0.45,-383.03,Sean O'Donnell,South,Consumer
4,US-2015-108966,11-10-2015,18-10-2015,Standard Class,SO-20335,United States,Fort Lauderdale,Florida,33311,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.58,5,0.45,-383.03,Sean O'Donnell,South,Consumer
4,US-2015-108966,11-10-2015,18-10-2015,Standard Class,SO-20335,United States,Fort Lauderdale,Florida,33311,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.58,5,0.45,-383.03,Sean O'Donnell,South,Consumer
4,US-2015-108966,11-10-2015,18-10-2015,Standard Class,SO-20335,United States,Fort Lauderdale,Florida,33311,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.58,5,0.45,-383.03,Sean O'Donnell,South,Consumer
4,US-2015-108966,11-10-2015,18-10-2015,Standard Class,SO-20335,United States,Fort Lauderdale,Florida,33311,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.58,5,0.45,-383.03,Sean O'Donnell,East,Consumer
4,US-2015-108966,11-10-2015,18-10-2015,Standard Class,SO-20335,United States,Fort Lauderdale,Florida,33311,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.58,5,0.45,-383.03,Sean O'Donnell,East,Consumer
4,US-2015-108966,11-10-2015,18-10-2015,Standard Class,SO-20335,United States,Fort Lauderdale,Florida,33311,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.58,5,0.45,-383.03,Sean O'Donnell,East,Consumer
4,US-2015-108966,11-10-2015,18-10-2015,Standard Class,SO-20335,United States,Fort Lauderdale,Florida,33311,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.58,5,0.45,-383.03,Sean O'Donnell,East,Consumer
4,US-2015-108966,11-10-2015,18-10-2015,Standard Class,SO-20335,United States,Fort Lauderdale,Florida,33311,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.58,5,0.45,-383.03,Sean O'Donnell,South,Consumer
4,US-2015-108966,11-10-2015,18-10-2015,Standard Class,SO-20335,United States,Fort Lauderdale,Florida,33311,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.58,5,0.45,-383.03,Sean O'Donnell,South,Consumer
5,US-2015-108966,11-10-2015,18-10-2015,Standard Class,SO-20335,United States,Fort Lauderdale,Florida,33311,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.37,2,0.2,2.52,Sean O'Donnell,South,Consumer
5,US-2015-108966,11-10-2015,18-10-2015,Standard Class,SO-20335,United States,Fort Lauderdale,Florida,33311,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.37,2,0.2,2.52,Sean O'Donnell,South,Consumer
5,US-2015-108966,11-10-2015,18-10-2015,Standard Class,SO-20335,United States,Fort Lauderdale,Florida,33311,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.37,2,0.2,2.52,Sean O'Donnell,South,Consumer
5,US-2015-108966,11-10-2015,18-10-2015,Standard Class,SO-20335,United States,Fort Lauderdale,Florida,33311,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.37,2,0.2,2.52,Sean O'Donnell,South,Consumer
5,US-2015-108966,11-10-2015,18-10-2015,Standard Class,SO-20335,United States,Fort Lauderdale,Florida,33311,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.37,2,0.2,2.52,Sean O'Donnell,East,Consumer
5,US-2015-108966,11-10-2015,18-10-2015,Standard Class,SO-20335,United States,Fort Lauderdale,Florida,33311,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.37,2,0.2,2.52,Sean O'Donnell,East,Consumer
5,US-2015-108966,11-10-2015,18-10-2015,Standard Class,SO-20335,United States,Fort Lauderdale,Florida,33311,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.37,2,0.2,2.52,Sean O'Donnell,East,Consumer
5,US-2015-108966,11-10-2015,18-10-2015,Standard Class,SO-20335,United States,Fort Lauderdale,Florida,33311,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.37,2,0.2,2.52,Sean O'Donnell,East,Consumer
5,US-2015-108966,11-10-2015,18-10-2015,Standard Class,SO-20335,United States,Fort Lauderdale,Florida,33311,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.37,2,0.2,2.52,Sean O'Donnell,South,Consumer
5,US-2015-108966,11-10-2015,18-10-2015,Standard Class,SO-20335,United States,Fort Lauderdale,Florida,33311,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.37,2,0.2,2.52,Sean O'Donnell,South,Consumer
6,CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,United States,Los Angeles,California,90032,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.17,Brosina Hoffman,South,Consumer
6,CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,United States,Los Angeles,California,90032,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.17,Brosina Hoffman,South,Consumer
